ID,Name,ABV,Style,Is Retired
fBZZUJ,Anniversary Ale,5.9,North American Origin Ales,N
fDmp62,Crye Me A River,5.6,Hybrid/mixed Beer,N
fdnFoV,Audition - Belgian-Style Blonde,6.3,Belgian And French Origin Ales,N
FDpmPR,Crank Tank Rye'd Ale,6.2,Hybrid/mixed Beer,N
FDSQ5n,SweetWater Mean Joe Bean,8.5,British Origin Ales,N
fDUiV9,Strawberry Moon,4.3,North American Origin Ales,N
fekpJv,Blackstrap Fever,6.1,British Origin Ales,N
FfmdpM,Juicy Wolf,4.8,North American Origin Ales,N
fGeFvg,Barrel Aged BOTL Cap,8.9,European-germanic Lager,N
Fhw2NF,7 Cities Pilsner,5,North American Lager,N
fIWpZI,Marilla Trail,10.1,Hybrid/mixed Beer,N
FK6HtH,Harvest Single Hop Yakima #291,6.5,North American Origin Ales,N
fKinUP,Busch Ice,5.9,North American Lager,N
Fkz9Mi,Water-melon-Rita,8,Malternative Beverages,N
FlmKOv,Smidy,5.2,British Origin Ales,N
fMn3Hq,Dragon's Milk Reserve: Salted Caramel,11,North American Origin Ales,N
FMWVLR,Puget Brown Porter,5.6,British Origin Ales,N
FNByFy,Knightro,4.6,Irish Origin Ales,N
fnqCGB,Maximus,8.2,North American Origin Ales,N
FnRwC6,Take Two Pils,5.5,European-germanic Lager,N
FocTXx,Goofer Dust,6.1,North American Origin Ales,N
fOFhEa,Hotbox Coffee Porter,6.5,British Origin Ales,N
fqgLPD,Hop Dog Fresh Hop Pale,5.6,North American Origin Ales,N
FtZRre,Sidcar Orange IPA,6.8,North American Origin Ales,N
FVFucy,Fresh Hop Double IPA,8,North American Origin Ales,N
FW35fB,High Life Light,4.5,North American Lager,N
fX6odn,Solar Storm - Beer Camp #71,5.8,North American Origin Ales,N
FxxNhs,Snow Cone IPA,7,North American Origin Ales,N
fyj05b,Black IPA,6.9,North American Origin Ales,N
G2Vi1J,Budweiser Select,4.3,North American Lager,N
G5Uxww,Single Hop El Dorado Session IPA,4.6,North American Origin Ales,N
g7a7Uo,Four Hopsmen - HBC 472,5.2,North American Origin Ales,N
G8qBXI,Super Cluster,8,North American Origin Ales,N
GboTWT,Censored Rich Copper Ale,6.75,North American Origin Ales,N
GbTnYM,Tangerine Space Machine,6.8,North American Origin Ales,N
GCDyUs,Silent Night,11,Belgian And French Origin Ales,Y
gEUoCZ,Doppel Sticky,7.7,German Origin Ales,N
gFe3ro,Beer Like A Billy Goat,6.5,European-germanic Lager,N
GGaceU,Harvest Ale 2007,6.7,North American Origin Ales,N
GIO3Xe,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8,North American Origin Ales,N
giziAd,Bourbon Barrel Aged Imperial Stout With Coffee,11.2,North American Origin Ales,N
gkSM7N,Guinness Dublin Porter,3.8,Irish Origin Ales,N
gm9FbA,Johnny Hash - Dank Tank,8.5,North American Origin Ales,N
GnPJde,Holidale (2016),10.3,Hybrid/mixed Beer,N
GNtxMV,Fusion 39,5.5,North American Origin Ales,N
gpCMad,Passion Blaster,6,Hybrid/mixed Beer,N
gQiQsk,White Hatter,5.5,Belgian And French Origin Ales,N
GTbXLB,Cambium,5.8,Hybrid/mixed Beer,N
guH320,Chaka,8,Belgian And French Origin Ales,N
gvFuE2,Select 55,4,North American Lager,N
GVNZZQ,Green Valley Wild Hop Lager,5,North American Lager,N
gVuwQ6,Shameless McDale,4.8,Irish Origin Ales,N
